phenomenon	strategy	alignment	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_parse_rate
1_10_tran_V_valency	erg-poss	erg-abs	12	1200	0.756667	1128	0.940000
1_10_tran_V_valency	erg-poss	nom-acc	12	1200	0.761667	1128	0.940000
1_10_tran_V_valency	nomn	erg-abs	12	1200	0.758333	1128	0.940000
1_10_tran_V_valency	nomn	nom-acc	12	1200	0.764167	1128	0.940000
1_10_tran_V_valency	poss-acc	erg-abs	12	1200	0.752500	1128	0.940000
1_10_tran_V_valency	poss-acc	nom-acc	12	1200	0.764167	1128	0.940000
1_10_tran_V_valency	sent	erg-abs	12	1200	0.747500	1128	0.940000
1_10_tran_V_valency	sent	nom-acc	12	1200	0.770833	1128	0.940000
1_1_intran_V_form	erg-poss	erg-abs	12	1200	0.995833	0	0.000000
1_1_intran_V_form	erg-poss	nom-acc	12	1200	0.991667	0	0.000000
1_1_intran_V_form	nomn	erg-abs	12	1200	0.995833	0	0.000000
1_1_intran_V_form	nomn	nom-acc	12	1200	0.989167	0	0.000000
1_1_intran_V_form	poss-acc	erg-abs	12	1200	0.995833	0	0.000000
1_1_intran_V_form	poss-acc	nom-acc	12	1200	0.990833	0	0.000000
1_1_intran_V_form	sent	erg-abs	12	1200	0.995000	0	0.000000
1_1_intran_V_form	sent	nom-acc	12	1200	0.991667	0	0.000000
1_2_intran_S_marker	erg-poss	erg-abs	12	1200	0.847500	40	0.033333
1_2_intran_S_marker	erg-poss	nom-acc	12	1200	0.895833	40	0.033333
1_2_intran_S_marker	nomn	erg-abs	12	1200	0.820000	40	0.033333
1_2_intran_S_marker	nomn	nom-acc	12	1200	0.912500	40	0.033333
1_2_intran_S_marker	poss-acc	erg-abs	12	1200	0.847500	40	0.033333
1_2_intran_S_marker	poss-acc	nom-acc	12	1200	0.901667	40	0.033333
1_2_intran_S_marker	sent	erg-abs	12	1200	0.816667	40	0.033333
1_2_intran_S_marker	sent	nom-acc	12	1200	0.897500	40	0.033333
1_3_intran_SV_order	erg-poss	erg-abs	12	1200	1.000000	0	0.000000
1_3_intran_SV_order	erg-poss	nom-acc	12	1200	0.999167	0	0.000000
1_3_intran_SV_order	nomn	erg-abs	12	1200	1.000000	0	0.000000
1_3_intran_SV_order	nomn	nom-acc	12	1200	1.000000	0	0.000000
1_3_intran_SV_order	poss-acc	erg-abs	12	1200	1.000000	0	0.000000
1_3_intran_SV_order	poss-acc	nom-acc	12	1200	1.000000	0	0.000000
1_3_intran_SV_order	sent	erg-abs	12	1200	0.999167	0	0.000000
1_3_intran_SV_order	sent	nom-acc	12	1200	1.000000	0	0.000000
1_4_tran_V_form	erg-poss	erg-abs	12	1200	0.995833	0	0.000000
1_4_tran_V_form	erg-poss	nom-acc	12	1200	0.994167	0	0.000000
1_4_tran_V_form	nomn	erg-abs	12	1200	0.995833	0	0.000000
1_4_tran_V_form	nomn	nom-acc	12	1200	0.997500	0	0.000000
1_4_tran_V_form	poss-acc	erg-abs	12	1200	0.995833	0	0.000000
1_4_tran_V_form	poss-acc	nom-acc	12	1200	0.997500	0	0.000000
1_4_tran_V_form	sent	erg-abs	12	1200	0.993333	0	0.000000
1_4_tran_V_form	sent	nom-acc	12	1200	0.996667	0	0.000000
1_5_tran_A_marker	erg-poss	erg-abs	12	1200	1.000000	212	0.176667
1_5_tran_A_marker	erg-poss	nom-acc	12	1200	0.930833	88	0.073333
1_5_tran_A_marker	nomn	erg-abs	12	1200	1.000000	212	0.176667
1_5_tran_A_marker	nomn	nom-acc	12	1200	0.942500	88	0.073333
1_5_tran_A_marker	poss-acc	erg-abs	12	1200	1.000000	216	0.180000
1_5_tran_A_marker	poss-acc	nom-acc	12	1200	0.929167	88	0.073333
1_5_tran_A_marker	sent	erg-abs	12	1200	1.000000	212	0.176667
1_5_tran_A_marker	sent	nom-acc	12	1200	0.921667	88	0.073333
1_6_tran_P_marker	erg-poss	erg-abs	12	1200	0.958333	68	0.056667
1_6_tran_P_marker	erg-poss	nom-acc	12	1200	1.000000	200	0.166667
1_6_tran_P_marker	nomn	erg-abs	12	1200	0.963333	68	0.056667
1_6_tran_P_marker	nomn	nom-acc	12	1200	1.000000	200	0.166667
1_6_tran_P_marker	poss-acc	erg-abs	12	1200	0.955833	68	0.056667
1_6_tran_P_marker	poss-acc	nom-acc	12	1200	1.000000	200	0.166667
1_6_tran_P_marker	sent	erg-abs	12	1200	0.957500	68	0.056667
1_6_tran_P_marker	sent	nom-acc	12	1200	1.000000	200	0.166667
1_7_tran_AV_order	erg-poss	erg-abs	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	erg-poss	nom-acc	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	nomn	erg-abs	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	nomn	nom-acc	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	poss-acc	erg-abs	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	poss-acc	nom-acc	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	sent	erg-abs	12	1200	1.000000	0	0.000000
1_7_tran_AV_order	sent	nom-acc	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	erg-poss	erg-abs	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	erg-poss	nom-acc	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	nomn	erg-abs	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	nomn	nom-acc	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	poss-acc	erg-abs	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	poss-acc	nom-acc	12	1200	1.000000	0	0.000000
1_8_tran_VP_order	sent	erg-abs	12	1200	1.000000	8	0.006667
1_8_tran_VP_order	sent	nom-acc	12	1200	1.000000	0	0.000000
1_9_intran_V_valency	erg-poss	erg-abs	12	1200	0.670000	612	0.510000
1_9_intran_V_valency	erg-poss	nom-acc	12	1200	0.693333	612	0.510000
1_9_intran_V_valency	nomn	erg-abs	12	1200	0.667500	612	0.510000
1_9_intran_V_valency	nomn	nom-acc	12	1200	0.704167	612	0.510000
1_9_intran_V_valency	poss-acc	erg-abs	12	1200	0.680833	612	0.510000
1_9_intran_V_valency	poss-acc	nom-acc	12	1200	0.680833	612	0.510000
1_9_intran_V_valency	sent	erg-abs	12	1200	0.668333	612	0.510000
1_9_intran_V_valency	sent	nom-acc	12	1200	0.692500	612	0.510000
2_1_intran_gen_marker	erg-poss	erg-abs	12	1200	0.897500	192	0.160000
2_1_intran_gen_marker	erg-poss	nom-acc	12	1200	0.894167	192	0.160000
2_1_intran_gen_marker	nomn	erg-abs	12	1200	0.896667	192	0.160000
2_1_intran_gen_marker	nomn	nom-acc	12	1200	0.890833	192	0.160000
2_1_intran_gen_marker	poss-acc	erg-abs	12	1200	0.906667	192	0.160000
2_1_intran_gen_marker	poss-acc	nom-acc	12	1200	0.882500	192	0.160000
2_1_intran_gen_marker	sent	erg-abs	12	1200	0.888333	192	0.160000
2_1_intran_gen_marker	sent	nom-acc	12	1200	0.880000	192	0.160000
2_2_tran_gen_marker	erg-poss	erg-abs	12	1200	0.900833	3	0.002500
2_2_tran_gen_marker	erg-poss	nom-acc	12	1200	0.939167	0	0.000000
2_2_tran_gen_marker	nomn	erg-abs	12	1200	0.885833	3	0.002500
2_2_tran_gen_marker	nomn	nom-acc	12	1200	0.946667	0	0.000000
2_2_tran_gen_marker	poss-acc	erg-abs	12	1200	0.894167	3	0.002500
2_2_tran_gen_marker	poss-acc	nom-acc	12	1200	0.917500	0	0.000000
