phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_pairs	accuracy_strict	mean_delta_good_minus_bad	bad_parse	bad_skip	bad_parse_rate	accuracy_when_bad_parse	accuracy_when_bad_skip
1_10_tran_V_valency	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov				100	0.770000	0.473841	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov				100	0.790000	0.477816	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov				100	0.780000	0.501811	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov				100	0.780000	0.470122	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov				100	0.780000	0.474274	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov				100	0.790000	0.494184	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov				100	0.760000	0.468173	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov				100	0.770000	0.483139	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov				100	0.740000	0.409210	94	6	0.940000	0.723404	1.000000
1_10_tran_V_valency	09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov				100	0.780000	0.451763	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov				100	0.780000	0.448072	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov				100	0.820000	0.448380	94	6	0.940000	0.808511	1.000000
1_10_tran_V_valency	12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov				100	0.800000	0.424728	94	6	0.940000	0.787234	1.000000
1_10_tran_V_valency	13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov				100	0.770000	0.414805	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov				100	0.810000	0.463180	94	6	0.940000	0.797872	1.000000
1_10_tran_V_valency	15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	sov				100	0.800000	0.435991	94	6	0.940000	0.787234	1.000000
1_10_tran_V_valency	16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	sov				100	0.760000	0.435136	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	ovs				100	0.740000	0.446162	94	6	0.940000	0.723404	1.000000
1_10_tran_V_valency	18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	vos				100	0.760000	0.483524	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	ovs				100	0.760000	0.474018	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	sov				100	0.760000	0.458857	94	6	0.940000	0.744681	1.000000
1_10_tran_V_valency	21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	ovs				100	0.730000	0.450882	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	vos				100	0.750000	0.472495	94	6	0.940000	0.734043	1.000000
1_10_tran_V_valency	23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	ovs				100	0.780000	0.494054	94	6	0.940000	0.765957	1.000000
1_10_tran_V_valency	24_sov_ng_er_b_se	sov	ng	erg-abs	balancing	sent	sov				100	0.710000	0.409558	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	25_sov_ng_er_b_pa	sov	ng	erg-abs	balancing	poss-acc	ovs				100	0.710000	0.415422	94	6	0.940000	0.691489	1.000000
