phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov				1	100	0.820000	0.940000	0.049200
1_10_tran_V_valency	12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov				1	100	0.800000	0.940000	0.048000
1_10_tran_V_valency	13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov				1	100	0.810000	0.940000	0.048600
1_10_tran_V_valency	15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	sov				1	100	0.800000	0.940000	0.048000
1_10_tran_V_valency	16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	sov				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	ovs				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	vos				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	ovs				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	sov				1	100	0.760000	0.940000	0.045600
1_10_tran_V_valency	21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	ovs				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	vos				1	100	0.750000	0.940000	0.045000
1_10_tran_V_valency	23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	ovs				1	100	0.780000	0.940000	0.046800
1_10_tran_V_valency	24_sov_ng_er_b_se	sov	ng	erg-abs	balancing	sent	sov				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	25_sov_ng_er_b_pa	sov	ng	erg-abs	balancing	poss-acc	ovs				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	26_sov_ng_er_b_ep	sov	ng	erg-abs	balancing	erg-poss	vos				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	ovs				1	100	0.720000	0.940000	0.043200
1_10_tran_V_valency	28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	sov				1	100	0.680000	0.940000	0.040800
1_10_tran_V_valency	29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	ovs				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	vos				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	ovs				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo				1	100	0.870000	0.940000	0.052200
1_10_tran_V_valency	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo				1	100	0.830000	0.940000	0.049800
1_10_tran_V_valency	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov				1	100	0.830000	0.940000	0.049800
1_10_tran_V_valency	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo				1	100	0.810000	0.940000	0.048600
1_10_tran_V_valency	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo				1	100	0.800000	0.940000	0.048000
1_10_tran_V_valency	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo				1	100	0.830000	0.940000	0.049800
1_10_tran_V_valency	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos				1	100	0.860000	0.940000	0.051600
1_10_tran_V_valency	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos				1	100	0.810000	0.940000	0.048600
1_10_tran_V_valency	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos				1	100	0.840000	0.940000	0.050400
1_10_tran_V_valency	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos				1	100	0.810000	0.940000	0.048600
1_10_tran_V_valency	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo				1	100	0.790000	0.940000	0.047400
1_10_tran_V_valency	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos				1	100	0.750000	0.940000	0.045000
1_10_tran_V_valency	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos				1	100	0.730000	0.940000	0.043800
1_10_tran_V_valency	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos				1	100	0.770000	0.940000	0.046200
1_10_tran_V_valency	60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo				1	100	0.750000	0.940000	0.045000
1_10_tran_V_valency	61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos				1	100	0.720000	0.940000	0.043200
1_10_tran_V_valency	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov				1	100	0.680000	0.940000	0.040800
1_10_tran_V_valency	67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo				1	100	0.690000	0.940000	0.041400
1_10_tran_V_valency	68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos				1	100	0.670000	0.940000	0.040200
1_10_tran_V_valency	69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo				1	100	0.710000	0.940000	0.042600
1_10_tran_V_valency	70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov				1	100	0.740000	0.940000	0.044400
1_10_tran_V_valency	71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo				1	100	0.700000	0.940000	0.042000
1_10_tran_V_valency	72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos				1	100	0.720000	0.940000	0.043200
