language	clause_wo	np_wo	alignment	comp_system	strategy	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	3350	0.835821	0.177910	0.687120
01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	3350	0.876119	0.148060	0.746401
02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	3350	0.893134	0.117015	0.788624
03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	3350	0.891642	0.118209	0.786242
04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	3350	0.858806	0.184478	0.700375
05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	3350	0.907761	0.117612	0.800998
06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	3350	0.875522	0.086567	0.799731
07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	3350	0.903881	0.087761	0.824555
08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	3350	0.845672	0.305373	0.587426
09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	3350	0.848657	0.306866	0.588233
10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	3350	0.858806	0.199403	0.687557
11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	3350	0.880000	0.229851	0.677731
12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	3350	0.911642	0.237313	0.695297
13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	3350	0.872836	0.298507	0.612288
14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	3350	0.875821	0.207463	0.694121
15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	3350	0.889552	0.263284	0.655348
16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	3350	0.801791	0.312239	0.551441
17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	3350	0.852537	0.248955	0.640294
18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	3350	0.893433	0.247463	0.672342
19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	3350	0.889851	0.189254	0.721443
20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	3350	0.827164	0.347761	0.539509
21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	3350	0.855224	0.248358	0.642822
22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	3350	0.906269	0.217313	0.709324
23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	3350	0.902687	0.188657	0.732389
24_sov_ng_er_b_se	sov	ng	erg-abs	balancing	sent	3350	0.807463	0.334328	0.537505
25_sov_ng_er_b_pa	sov	ng	erg-abs	balancing	poss-acc	3350	0.829254	0.305970	0.575527
26_sov_ng_er_b_ep	sov	ng	erg-abs	balancing	erg-poss	3350	0.816716	0.188955	0.662394
27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	3350	0.833731	0.248358	0.626667
28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	3350	0.848358	0.308060	0.587013
29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	3350	0.830448	0.271343	0.605111
30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	3350	0.822388	0.197612	0.659874
31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	3350	0.867463	0.227164	0.670406
