phenomenon	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_skip	bad_parse_rate
1_10_tran_V_valency	96	9600	0.759479	9024	576	0.940000
1_1_intran_V_form	96	9600	0.993229	0	9600	0.000000
1_2_intran_S_marker	96	9600	0.867396	320	9280	0.033333
1_3_intran_SV_order	96	9600	0.999792	0	9600	0.000000
1_4_tran_V_form	96	9600	0.995833	0	9600	0.000000
1_5_tran_A_marker	96	9600	0.965521	1204	8396	0.125417
1_6_tran_P_marker	96	9600	0.979375	1072	8528	0.111667
1_7_tran_AV_order	96	9600	1.000000	0	9600	0.000000
1_8_tran_VP_order	96	9600	1.000000	8	9592	0.000833
1_9_intran_V_valency	96	9600	0.682187	4896	4704	0.510000
2_1_intran_gen_marker	96	9600	0.892083	1536	8064	0.160000
2_2_tran_gen_marker	96	9600	0.912500	12	9588	0.001250
2_3_gen_order	96	9600	0.948854	2272	7328	0.236667
3_1_clausal_V_form	96	9600	0.982604	764	8836	0.079583
3_2_clausal_S_marker	96	9600	0.743646	3587	6013	0.373646
3_3_clausal_A_marker	96	9600	0.839167	2919	6681	0.304063
3_4_clausal_P_marker	96	9600	0.974583	1490	8110	0.155208
3_5_clausal_comp_V_order	96	9600	0.999896	24	9576	0.002500
3_6_clausal_CV_valency	96	9600	0.747604	7330	2270	0.763542
4_1_anc_V_form	96	9600	0.945833	1208	8392	0.125833
4_2_anc_S_marker	96	9600	0.817604	2493	7107	0.259688
4_3_anc_A_marker	96	9600	0.683333	1984	7616	0.206667
4_4_anc_P_marker	96	9600	0.900937	3054	6546	0.318125
4_5_anc_SV_order	96	9600	0.895833	2774	6826	0.288958
4_6_anc_AV_order	96	9600	0.917083	1604	7996	0.167083
4_7_anc_VP_order	96	9600	0.917604	1332	8268	0.138750
5_1_anc_ext_S_marker	96	9600	0.627396	682	8918	0.071042
5_2_anc_ext_A_marker	96	9600	0.820208	1112	8488	0.115833
5_3_anc_ext_P_marker	96	9600	0.902813	1432	8168	0.149167
5_4_anc_ext_gen_marker	96	6144	0.804036	214	5930	0.034831
6_1_anc_omit_S	96	8256	0.984012	920	7336	0.111434
6_2_anc_omit_A	96	9600	0.745000	1547	8053	0.161146
6_3_anc_omit_P	96	9600	0.828125	1600	8000	0.166667
6_4_anc_omit_A_P	96	9600	0.908125	2472	7128	0.257500
