phenomenon	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	96	9600	0.759479	0.940000	0.045569
1_1_intran_V_form	96	9600	0.993229	0.000000	0.993229
1_2_intran_S_marker	96	9600	0.867396	0.033333	0.838483
1_3_intran_SV_order	96	9600	0.999792	0.000000	0.999792
1_4_tran_V_form	96	9600	0.995833	0.000000	0.995833
1_5_tran_A_marker	96	9600	0.965521	0.125417	0.844428
1_6_tran_P_marker	96	9600	0.979375	0.111667	0.870011
1_7_tran_AV_order	96	9600	1.000000	0.000000	1.000000
1_8_tran_VP_order	96	9600	1.000000	0.000833	0.999167
1_9_intran_V_valency	96	9600	0.682187	0.510000	0.334272
2_1_intran_gen_marker	96	9600	0.892083	0.160000	0.749350
2_2_tran_gen_marker	96	9600	0.912500	0.001250	0.911359
2_3_gen_order	96	9600	0.948854	0.236667	0.724292
3_1_clausal_V_form	96	9600	0.982604	0.079583	0.904405
3_2_clausal_S_marker	96	9600	0.743646	0.373646	0.465786
3_3_clausal_A_marker	96	9600	0.839167	0.304063	0.584008
3_4_clausal_P_marker	96	9600	0.974583	0.155208	0.823320
3_5_clausal_comp_V_order	96	9600	0.999896	0.002500	0.997396
3_6_clausal_CV_valency	96	9600	0.747604	0.763542	0.176777
4_1_anc_V_form	96	9600	0.945833	0.125833	0.826816
4_2_anc_S_marker	96	9600	0.817604	0.259688	0.605283
4_3_anc_A_marker	96	9600	0.683333	0.206667	0.542111
4_4_anc_P_marker	96	9600	0.900937	0.318125	0.614327
4_5_anc_SV_order	96	9600	0.895833	0.288958	0.636975
4_6_anc_AV_order	96	9600	0.917083	0.167083	0.763854
4_7_anc_VP_order	96	9600	0.917604	0.138750	0.790287
5_1_anc_ext_S_marker	96	9600	0.627396	0.071042	0.582825
5_2_anc_ext_A_marker	96	9600	0.820208	0.115833	0.725201
5_3_anc_ext_P_marker	96	9600	0.902813	0.149167	0.768143
5_4_anc_ext_gen_marker	96	6144	0.804036	0.034831	0.776031
6_1_anc_omit_S	96	8256	0.984012	0.111434	0.874359
6_2_anc_omit_A	96	9600	0.745000	0.161146	0.624946
6_3_anc_omit_P	96	9600	0.828125	0.166667	0.690104
6_4_anc_omit_A_P	96	9600	0.908125	0.257500	0.674283
