clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
sov	gn	erg-abs	8	26800	0.872873	0.256007	0.649411
sov	gn	nom-acc	8	26800	0.880336	0.129701	0.766155
sov	ng	erg-abs	8	26800	0.831978	0.260224	0.615477
sov	ng	nom-acc	8	26800	0.866119	0.250000	0.649590
svo	gn	erg-abs	8	26800	0.876194	0.169590	0.727601
svo	gn	nom-acc	8	26800	0.923806	0.097425	0.833804
svo	ng	erg-abs	8	26800	0.867649	0.123097	0.760844
svo	ng	nom-acc	8	26800	0.944590	0.089888	0.859682
vos	gn	erg-abs	8	26800	0.901157	0.260224	0.666654
vos	gn	nom-acc	8	26800	0.870485	0.250000	0.652864
vos	ng	erg-abs	8	26800	0.891978	0.256007	0.663625
vos	ng	nom-acc	8	26800	0.859515	0.129701	0.748035
