phenomenon	anc_wo	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	ovs	8	800	0.730000	0.940000	0.043800
1_10_tran_V_valency	sov	28	2800	0.766071	0.940000	0.045964
1_10_tran_V_valency	svo	24	2400	0.767917	0.940000	0.046075
1_10_tran_V_valency	vos	36	3600	0.755278	0.940000	0.045317
1_1_intran_V_form	ovs	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	sov	28	2800	0.996786	0.000000	0.996786
1_1_intran_V_form	svo	24	2400	0.987917	0.000000	0.987917
1_1_intran_V_form	vos	36	3600	0.992500	0.000000	0.992500
1_2_intran_S_marker	ovs	8	800	0.760000	0.035000	0.733400
1_2_intran_S_marker	sov	28	2800	0.827143	0.034286	0.798784
1_2_intran_S_marker	svo	24	2400	0.931667	0.031667	0.902164
1_2_intran_S_marker	vos	36	3600	0.879722	0.033333	0.850398
1_3_intran_SV_order	ovs	8	800	1.000000	0.000000	1.000000
1_3_intran_SV_order	sov	28	2800	0.999643	0.000000	0.999643
1_3_intran_SV_order	svo	24	2400	0.999583	0.000000	0.999583
1_3_intran_SV_order	vos	36	3600	1.000000	0.000000	1.000000
1_4_tran_V_form	ovs	8	800	1.000000	0.000000	1.000000
1_4_tran_V_form	sov	28	2800	0.997500	0.000000	0.997500
1_4_tran_V_form	svo	24	2400	0.992917	0.000000	0.992917
1_4_tran_V_form	vos	36	3600	0.995556	0.000000	0.995556
1_5_tran_A_marker	ovs	8	800	0.988750	0.027500	0.961559
1_5_tran_A_marker	sov	28	2800	0.945000	0.198571	0.757350
1_5_tran_A_marker	svo	24	2400	0.990417	0.022500	0.968132
1_5_tran_A_marker	vos	36	3600	0.959722	0.158889	0.807233
1_6_tran_P_marker	ovs	8	800	0.938750	0.305000	0.652431
1_6_tran_P_marker	sov	28	2800	0.978929	0.097857	0.883133
1_6_tran_P_marker	svo	24	2400	0.992500	0.111667	0.881671
1_6_tran_P_marker	vos	36	3600	0.980000	0.079444	0.902144
1_7_tran_AV_order	ovs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	sov	28	2800	1.000000	0.000000	1.000000
1_7_tran_AV_order	svo	24	2400	1.000000	0.000000	1.000000
1_7_tran_AV_order	vos	36	3600	1.000000	0.000000	1.000000
1_8_tran_VP_order	ovs	8	800	1.000000	0.000000	1.000000
1_8_tran_VP_order	sov	28	2800	1.000000	0.000000	1.000000
1_8_tran_VP_order	svo	24	2400	1.000000	0.003333	0.996667
1_8_tran_VP_order	vos	36	3600	1.000000	0.000000	1.000000
1_9_intran_V_valency	ovs	8	800	0.662500	0.510000	0.324625
1_9_intran_V_valency	sov	28	2800	0.672500	0.510000	0.329525
1_9_intran_V_valency	svo	24	2400	0.703750	0.510000	0.344837
1_9_intran_V_valency	vos	36	3600	0.679722	0.510000	0.333064
2_1_intran_gen_marker	ovs	8	800	0.837500	0.240000	0.636500
2_1_intran_gen_marker	sov	28	2800	0.882500	0.205714	0.700957
2_1_intran_gen_marker	svo	24	2400	0.947917	0.080000	0.872083
2_1_intran_gen_marker	vos	36	3600	0.874444	0.160000	0.734533
2_2_tran_gen_marker	ovs	8	800	0.861250	0.002500	0.859097
2_2_tran_gen_marker	sov	28	2800	0.908571	0.000714	0.907922
2_2_tran_gen_marker	svo	24	2400	0.959167	0.001250	0.957968
2_2_tran_gen_marker	vos	36	3600	0.895833	0.001389	0.894589
2_3_gen_order	ovs	8	800	0.917500	0.360000	0.587200
2_3_gen_order	sov	28	2800	0.984286	0.302857	0.686188
2_3_gen_order	svo	24	2400	0.983750	0.120000	0.865700
2_3_gen_order	vos	36	3600	0.905000	0.235556	0.691822
3_1_clausal_V_form	ovs	8	800	0.986250	0.051250	0.935705
