phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	sov	gn	erg-abs	8	800	0.787500	0.940000	0.047250
1_10_tran_V_valency	sov	gn	nom-acc	8	800	0.777500	0.940000	0.046650
1_10_tran_V_valency	sov	ng	erg-abs	8	800	0.711250	0.940000	0.042675
1_10_tran_V_valency	sov	ng	nom-acc	8	800	0.755000	0.940000	0.045300
1_10_tran_V_valency	svo	gn	erg-abs	8	800	0.767500	0.940000	0.046050
1_10_tran_V_valency	svo	gn	nom-acc	8	800	0.808750	0.940000	0.048525
1_10_tran_V_valency	svo	ng	erg-abs	8	800	0.738750	0.940000	0.044325
1_10_tran_V_valency	svo	ng	nom-acc	8	800	0.833750	0.940000	0.050025
1_10_tran_V_valency	vos	gn	erg-abs	8	800	0.738750	0.940000	0.044325
1_10_tran_V_valency	vos	gn	nom-acc	8	800	0.700000	0.940000	0.042000
1_10_tran_V_valency	vos	ng	erg-abs	8	800	0.778750	0.940000	0.046725
1_10_tran_V_valency	vos	ng	nom-acc	8	800	0.716250	0.940000	0.042975
1_1_intran_V_form	sov	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	sov	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	sov	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	svo	gn	erg-abs	8	800	0.980000	0.000000	0.980000
1_1_intran_V_form	svo	gn	nom-acc	8	800	0.978750	0.000000	0.978750
1_1_intran_V_form	svo	ng	erg-abs	8	800	0.993750	0.000000	0.993750
1_1_intran_V_form	svo	ng	nom-acc	8	800	0.986250	0.000000	0.986250
1_1_intran_V_form	vos	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	vos	gn	nom-acc	8	800	0.996250	0.000000	0.996250
1_1_intran_V_form	vos	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_1_intran_V_form	vos	ng	nom-acc	8	800	0.983750	0.000000	0.983750
1_2_intran_S_marker	sov	gn	erg-abs	8	800	0.752500	0.030000	0.729925
1_2_intran_S_marker	sov	gn	nom-acc	8	800	0.822500	0.040000	0.789600
1_2_intran_S_marker	sov	ng	erg-abs	8	800	0.591250	0.040000	0.567600
1_2_intran_S_marker	sov	ng	nom-acc	8	800	0.931250	0.030000	0.903312
1_2_intran_S_marker	svo	gn	erg-abs	8	800	0.911250	0.030000	0.883912
1_2_intran_S_marker	svo	gn	nom-acc	8	800	0.950000	0.030000	0.921500
1_2_intran_S_marker	svo	ng	erg-abs	8	800	0.802500	0.030000	0.778425
1_2_intran_S_marker	svo	ng	nom-acc	8	800	0.973750	0.030000	0.944538
1_2_intran_S_marker	vos	gn	erg-abs	8	800	0.957500	0.040000	0.919200
1_2_intran_S_marker	vos	gn	nom-acc	8	800	0.985000	0.030000	0.955450
1_2_intran_S_marker	vos	ng	erg-abs	8	800	0.982500	0.030000	0.953025
1_2_intran_S_marker	vos	ng	nom-acc	8	800	0.748750	0.040000	0.718800
1_3_intran_SV_order	sov	gn	erg-abs	8	800	1.000000	0.000000	1.000000
