phenomenon	strategy	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	erg-poss	24	2400	0.759167	0.940000	0.045550
1_10_tran_V_valency	nomn	24	2400	0.761250	0.940000	0.045675
1_10_tran_V_valency	poss-acc	24	2400	0.758333	0.940000	0.045500
1_10_tran_V_valency	sent	24	2400	0.759167	0.940000	0.045550
1_1_intran_V_form	erg-poss	24	2400	0.993750	0.000000	0.993750
1_1_intran_V_form	nomn	24	2400	0.992500	0.000000	0.992500
1_1_intran_V_form	poss-acc	24	2400	0.993333	0.000000	0.993333
1_1_intran_V_form	sent	24	2400	0.993333	0.000000	0.993333
1_2_intran_S_marker	erg-poss	24	2400	0.871667	0.033333	0.842611
1_2_intran_S_marker	nomn	24	2400	0.866250	0.033333	0.837375
1_2_intran_S_marker	poss-acc	24	2400	0.874583	0.033333	0.845431
1_2_intran_S_marker	sent	24	2400	0.857083	0.033333	0.828514
1_3_intran_SV_order	erg-poss	24	2400	0.999583	0.000000	0.999583
1_3_intran_SV_order	nomn	24	2400	1.000000	0.000000	1.000000
1_3_intran_SV_order	poss-acc	24	2400	1.000000	0.000000	1.000000
1_3_intran_SV_order	sent	24	2400	0.999583	0.000000	0.999583
1_4_tran_V_form	erg-poss	24	2400	0.995000	0.000000	0.995000
1_4_tran_V_form	nomn	24	2400	0.996667	0.000000	0.996667
1_4_tran_V_form	poss-acc	24	2400	0.996667	0.000000	0.996667
1_4_tran_V_form	sent	24	2400	0.995000	0.000000	0.995000
1_5_tran_A_marker	erg-poss	24	2400	0.965417	0.125000	0.844740
1_5_tran_A_marker	nomn	24	2400	0.971250	0.125000	0.849844
1_5_tran_A_marker	poss-acc	24	2400	0.964583	0.126667	0.842403
1_5_tran_A_marker	sent	24	2400	0.960833	0.125000	0.840729
1_6_tran_P_marker	erg-poss	24	2400	0.979167	0.111667	0.869826
1_6_tran_P_marker	nomn	24	2400	0.981667	0.111667	0.872047
1_6_tran_P_marker	poss-acc	24	2400	0.977917	0.111667	0.868716
1_6_tran_P_marker	sent	24	2400	0.978750	0.111667	0.869456
1_7_tran_AV_order	erg-poss	24	2400	1.000000	0.000000	1.000000
1_7_tran_AV_order	nomn	24	2400	1.000000	0.000000	1.000000
1_7_tran_AV_order	poss-acc	24	2400	1.000000	0.000000	1.000000
1_7_tran_AV_order	sent	24	2400	1.000000	0.000000	1.000000
1_8_tran_VP_order	erg-poss	24	2400	1.000000	0.000000	1.000000
1_8_tran_VP_order	nomn	24	2400	1.000000	0.000000	1.000000
1_8_tran_VP_order	poss-acc	24	2400	1.000000	0.000000	1.000000
1_8_tran_VP_order	sent	24	2400	1.000000	0.003333	0.996667
