phenomenon	strategy	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_10_tran_V_valency	erg-poss	erg-abs	12	1200	0.756667	0.940000	0.045400
1_10_tran_V_valency	erg-poss	nom-acc	12	1200	0.761667	0.940000	0.045700
1_10_tran_V_valency	nomn	erg-abs	12	1200	0.758333	0.940000	0.045500
1_10_tran_V_valency	nomn	nom-acc	12	1200	0.764167	0.940000	0.045850
1_10_tran_V_valency	poss-acc	erg-abs	12	1200	0.752500	0.940000	0.045150
1_10_tran_V_valency	poss-acc	nom-acc	12	1200	0.764167	0.940000	0.045850
1_10_tran_V_valency	sent	erg-abs	12	1200	0.747500	0.940000	0.044850
1_10_tran_V_valency	sent	nom-acc	12	1200	0.770833	0.940000	0.046250
1_1_intran_V_form	erg-poss	erg-abs	12	1200	0.995833	0.000000	0.995833
1_1_intran_V_form	erg-poss	nom-acc	12	1200	0.991667	0.000000	0.991667
1_1_intran_V_form	nomn	erg-abs	12	1200	0.995833	0.000000	0.995833
1_1_intran_V_form	nomn	nom-acc	12	1200	0.989167	0.000000	0.989167
1_1_intran_V_form	poss-acc	erg-abs	12	1200	0.995833	0.000000	0.995833
1_1_intran_V_form	poss-acc	nom-acc	12	1200	0.990833	0.000000	0.990833
1_1_intran_V_form	sent	erg-abs	12	1200	0.995000	0.000000	0.995000
1_1_intran_V_form	sent	nom-acc	12	1200	0.991667	0.000000	0.991667
1_2_intran_S_marker	erg-poss	erg-abs	12	1200	0.847500	0.033333	0.819250
1_2_intran_S_marker	erg-poss	nom-acc	12	1200	0.895833	0.033333	0.865972
1_2_intran_S_marker	nomn	erg-abs	12	1200	0.820000	0.033333	0.792667
1_2_intran_S_marker	nomn	nom-acc	12	1200	0.912500	0.033333	0.882083
1_2_intran_S_marker	poss-acc	erg-abs	12	1200	0.847500	0.033333	0.819250
1_2_intran_S_marker	poss-acc	nom-acc	12	1200	0.901667	0.033333	0.871611
1_2_intran_S_marker	sent	erg-abs	12	1200	0.816667	0.033333	0.789444
1_2_intran_S_marker	sent	nom-acc	12	1200	0.897500	0.033333	0.867583
1_3_intran_SV_order	erg-poss	erg-abs	12	1200	1.000000	0.000000	1.000000
1_3_intran_SV_order	erg-poss	nom-acc	12	1200	0.999167	0.000000	0.999167
1_3_intran_SV_order	nomn	erg-abs	12	1200	1.000000	0.000000	1.000000
1_3_intran_SV_order	nomn	nom-acc	12	1200	1.000000	0.000000	1.000000
1_3_intran_SV_order	poss-acc	erg-abs	12	1200	1.000000	0.000000	1.000000
1_3_intran_SV_order	poss-acc	nom-acc	12	1200	1.000000	0.000000	1.000000
1_3_intran_SV_order	sent	erg-abs	12	1200	0.999167	0.000000	0.999167
1_3_intran_SV_order	sent	nom-acc	12	1200	1.000000	0.000000	1.000000
1_4_tran_V_form	erg-poss	erg-abs	12	1200	0.995833	0.000000	0.995833
1_4_tran_V_form	erg-poss	nom-acc	12	1200	0.994167	0.000000	0.994167
1_4_tran_V_form	nomn	erg-abs	12	1200	0.995833	0.000000	0.995833
1_4_tran_V_form	nomn	nom-acc	12	1200	0.997500	0.000000	0.997500
1_4_tran_V_form	poss-acc	erg-abs	12	1200	0.995833	0.000000	0.995833
1_4_tran_V_form	poss-acc	nom-acc	12	1200	0.997500	0.000000	0.997500
1_4_tran_V_form	sent	erg-abs	12	1200	0.993333	0.000000	0.993333
1_4_tran_V_form	sent	nom-acc	12	1200	0.996667	0.000000	0.996667
1_5_tran_A_marker	erg-poss	erg-abs	12	1200	1.000000	0.176667	0.823333
1_5_tran_A_marker	erg-poss	nom-acc	12	1200	0.930833	0.073333	0.862572
1_5_tran_A_marker	nomn	erg-abs	12	1200	1.000000	0.176667	0.823333
1_5_tran_A_marker	nomn	nom-acc	12	1200	0.942500	0.073333	0.873383
1_5_tran_A_marker	poss-acc	erg-abs	12	1200	1.000000	0.180000	0.820000
1_5_tran_A_marker	poss-acc	nom-acc	12	1200	0.929167	0.073333	0.861028
1_5_tran_A_marker	sent	erg-abs	12	1200	1.000000	0.176667	0.823333
1_5_tran_A_marker	sent	nom-acc	12	1200	0.921667	0.073333	0.854078
1_6_tran_P_marker	erg-poss	erg-abs	12	1200	0.958333	0.056667	0.904028
1_6_tran_P_marker	erg-poss	nom-acc	12	1200	1.000000	0.166667	0.833333
1_6_tran_P_marker	nomn	erg-abs	12	1200	0.963333	0.056667	0.908744
1_6_tran_P_marker	nomn	nom-acc	12	1200	1.000000	0.166667	0.833333
1_6_tran_P_marker	poss-acc	erg-abs	12	1200	0.955833	0.056667	0.901669
1_6_tran_P_marker	poss-acc	nom-acc	12	1200	1.000000	0.166667	0.833333
1_6_tran_P_marker	sent	erg-abs	12	1200	0.957500	0.056667	0.903242
1_6_tran_P_marker	sent	nom-acc	12	1200	1.000000	0.166667	0.833333
1_7_tran_AV_order	erg-poss	erg-abs	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	erg-poss	nom-acc	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	nomn	erg-abs	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	nomn	nom-acc	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	poss-acc	erg-abs	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	poss-acc	nom-acc	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	sent	erg-abs	12	1200	1.000000	0.000000	1.000000
1_7_tran_AV_order	sent	nom-acc	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	erg-poss	erg-abs	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	erg-poss	nom-acc	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	nomn	erg-abs	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	nomn	nom-acc	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	poss-acc	erg-abs	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	poss-acc	nom-acc	12	1200	1.000000	0.000000	1.000000
1_8_tran_VP_order	sent	erg-abs	12	1200	1.000000	0.006667	0.993333
1_8_tran_VP_order	sent	nom-acc	12	1200	1.000000	0.000000	1.000000
1_9_intran_V_valency	erg-poss	erg-abs	12	1200	0.670000	0.510000	0.328300
1_9_intran_V_valency	erg-poss	nom-acc	12	1200	0.693333	0.510000	0.339733
1_9_intran_V_valency	nomn	erg-abs	12	1200	0.667500	0.510000	0.327075
1_9_intran_V_valency	nomn	nom-acc	12	1200	0.704167	0.510000	0.345042
1_9_intran_V_valency	poss-acc	erg-abs	12	1200	0.680833	0.510000	0.333608
1_9_intran_V_valency	poss-acc	nom-acc	12	1200	0.680833	0.510000	0.333608
1_9_intran_V_valency	sent	erg-abs	12	1200	0.668333	0.510000	0.327483
1_9_intran_V_valency	sent	nom-acc	12	1200	0.692500	0.510000	0.339325
2_1_intran_gen_marker	erg-poss	erg-abs	12	1200	0.897500	0.160000	0.753900
2_1_intran_gen_marker	erg-poss	nom-acc	12	1200	0.894167	0.160000	0.751100
2_1_intran_gen_marker	nomn	erg-abs	12	1200	0.896667	0.160000	0.753200
