group	value	n_models	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
clause_wo	sov	32	0.9939926664302929	8.906090812392566e-05	0.995431946806935	0.9948288872819276	1.0568637769230425	6.77561700275121	24.497735749132673	24.4884512546508	1.0
clause_wo	svo	32	0.9960438723851156	0.00010084219360803551	0.9971126032826028	0.9966156921809582	1.0462137753522043	6.77561700275121	24.497698722235437	24.480319502852193	1.0
clause_wo	vos	32	0.9954210070418427	9.39697770756381e-05	0.9967897399589787	0.9961384001038625	1.0366033319719403	6.77561700275121	17.528306501923154	17.528368774432142	1.0
np_wo	gn	48	0.9950646699070812	9.68683473137921e-05	0.9963332151464694	0.9957832197492092	1.047746744999125	6.77561700275121	22.174582661987067	22.165927624758204	1.0
np_wo	ng	48	0.9952403606644196	9.238023855794073e-05	0.9965563115525415	0.995938766628623	1.045373844499	6.77561700275121	22.17457798687378	22.165498729865224	1.0
alignment	erg-abs	48	0.9951330200633421	9.266074535518145e-05	0.9966569199904852	0.9958951801361381	1.0450276991112049	6.77561700275121	22.174554143796012	22.16216920768424	1.0
alignment	nom-acc	48	0.9951720105081586	9.65878405165514e-05	0.9962326067085258	0.9958268062416942	1.0480928903869198	6.77561700275121	22.17460650506483	22.169257146939184	1.0
comp_system	balancing	48	0.9953711703341995	0.00010023442888068063	0.9966575745063454	0.9960660056792241	1.0437261475720079	6.77561700275121	22.174582194475736	22.166287514979064	1.0
comp_system	deranking	48	0.9949338602373012	8.901415699105221e-05	0.9962319521926656	0.9956559806986081	1.0493944419261167	6.77561700275121	22.174578454385106	22.165138839644364	1.0
strategy	erg-poss	24	0.9964422387883303	0.00030145130476801714	0.9971799716650734	0.9968852815096503	1.0378996473842554	6.77561700275121	22.16737690987728	22.160756388448807	1.0
strategy	nomn	24	0.9959855737224225	4.675113287345179e-05	0.9971182601696804	0.9965803387045988	1.0394127010485719	6.77561700275121	22.17278769899152	22.16400802324242	1.0
strategy	poss-acc	24	0.9951606967340032	2.3188561905232087e-05	0.9969054490128405	0.9959674133625926	1.0432272194819825	6.77561700275121	22.183613017310634	22.16941469825697	1.0
strategy	sent	24	0.9930215518982456	7.106172196764672e-06	0.9945753725504276	0.9940109391788228	1.0657016110814397	6.77561700275121	22.17454367154225	22.168673599298657	1.0
anc_wo	ovs	8	0.9948745798008177	3.534385645232955e-05	0.9963657539349493	0.9956302193628497	1.0467487018145425	6.77561700275121	24.501413754258092	24.49000105470556	1.0
anc_wo	sov	28	0.9944712911711848	0.00014634440336043936	0.995690774435989	0.9952187555867157	1.0544731377073586	6.77561700275121	23.499984612198553	23.491780349392855	1.0
anc_wo	svo	24	0.9954599039843933	2.3375566436725892e-05	0.9968386883950971	0.9961768136244674	1.0455187730109077	6.77561700275121	22.176881976204047	22.164526025794657	1.0
anc_wo	vos	36	0.9955391939057467	0.00011507012171252266	0.9967861401217475	0.9962012474393859	1.0410583409257173	6.77561700275121	20.625101792799978	20.61861061617245	1.0
