model_id	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov	0.9917732966505244	4.488108755851371e-06	0.9932947655187581	0.992840362668697	1.085422173950119	6.77561700275121	24.497524808021147	24.491685778529785	1.0
01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov	0.9938243623519485	2.2440543779256858e-05	0.9951932355224832	0.9946218798616953	1.0667875463958243	6.77561700275121	24.506855586124562	24.49283024626253	1.0
02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov	0.9949104846708645	0.0003186557216654474	0.9959023567059077	0.9955364241665304	1.055473024222323	6.77561700275121	24.490649025407183	24.48166383167797	1.0
03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov	0.9942776613362895	6.732163133777057e-05	0.9953907123077407	0.9950036921320093	1.0629053323220128	6.77561700275121	24.496025779696694	24.48430283962641	1.0
04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov	0.9920919523721898	4.488108755851371e-06	0.9935146828477948	0.9931273794075719	1.079628025546315	6.77561700275121	24.497524808021147	24.491654361768493	1.0
05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov	0.994686079233072	2.2440543779256858e-05	0.9958574756183491	0.9953934596855004	1.0533097558020026	6.77561700275121	24.506855586124562	24.495774445606365	1.0
06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov	0.9941834110524166	0.0002692865253510823	0.9952381166100417	0.994891548138312	1.0630399755846884	6.77561700275121	24.490649025407183	24.4814169856964	1.0
07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov	0.9951438663261688	6.283352258191921e-05	0.9961716432312587	0.9957748643099432	1.050334139696873	6.77561700275121	24.496025779696694	24.485873677690957	1.0
08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov	0.9906871743316084	8.976217511702743e-06	0.992814537881882	0.9920436422293692	1.0782905691370712	6.77561700275121	24.497435045846032	24.492318601864362	1.0
09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov	0.9927337519242766	2.2440543779256858e-05	0.9955298436791721	0.9940221705715535	1.0532514103881765	6.77561700275121	24.50678377638447	24.48925771169287	1.0
10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov	0.9952201641750182	0.0003186557216654474	0.9960100713160481	0.9958175230393831	1.043817405783377	6.77561700275121	24.49057721566709	24.486021785279902	1.0
11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov	0.9950541041510518	6.283352258191921e-05	0.9960863691648976	0.9957335056363211	1.0423497942202136	6.77561700275121	24.4959539699566	24.490900359497513	1.0
12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov	0.9916745582578957	8.976217511702743e-06	0.9936044450229118	0.9928857079384309	1.0727657072586183	6.77561700275121	24.49741260530225	24.490182262096575	1.0
13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov	0.9939231007445772	1.3464326267554115e-05	0.9963601437990045	0.9949921543964783	1.0484850388894624	6.77561700275121	24.50678377638447	24.4877093141721	1.0
14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov	0.9954939388091252	0.0002737746341069337	0.9964409297566099	0.996080506281869	1.0413309935326354	6.77561700275121	24.49057721566709	24.48512416352873	1.0
