metadata_field	metadata_value	n_languages	mean_overall_accuracy_tie_ok	min_overall_accuracy_tie_ok	max_overall_accuracy_tie_ok	mean_top_x_anc__iv_none_accuracy_tie_ok	min_top_x_anc__iv_none_accuracy_tie_ok	max_top_x_anc__iv_none_accuracy_tie_ok	mean_top_x_anc__tv_arg_accuracy_tie_ok	min_top_x_anc__tv_arg_accuracy_tie_ok	max_top_x_anc__tv_arg_accuracy_tie_ok	mean_top_x_anc__iv_arg_accuracy_tie_ok	min_top_x_anc__iv_arg_accuracy_tie_ok	max_top_x_anc__iv_arg_accuracy_tie_ok	mean_top_x_anc__cv_bare_accuracy_tie_ok	min_top_x_anc__cv_bare_accuracy_tie_ok	max_top_x_anc__cv_bare_accuracy_tie_ok	mean_anc_bucket__none_accuracy_tie_ok	min_anc_bucket__none_accuracy_tie_ok	max_anc_bucket__none_accuracy_tie_ok	mean_anc_bucket__bare_accuracy_tie_ok	min_anc_bucket__bare_accuracy_tie_ok	max_anc_bucket__bare_accuracy_tie_ok	mean_anc_bucket__arg_accuracy_tie_ok	min_anc_bucket__arg_accuracy_tie_ok	max_anc_bucket__arg_accuracy_tie_ok	mean_complexity_bucket__iv_plain_accuracy_tie_ok	min_complexity_bucket__iv_plain_accuracy_tie_ok	max_complexity_bucket__iv_plain_accuracy_tie_ok	mean_complexity_bucket__anc_bare_accuracy_tie_ok	min_complexity_bucket__anc_bare_accuracy_tie_ok	max_complexity_bucket__anc_bare_accuracy_tie_ok	mean_complexity_bucket__anc_overt_arg_accuracy_tie_ok	min_complexity_bucket__anc_overt_arg_accuracy_tie_ok	max_complexity_bucket__anc_overt_arg_accuracy_tie_ok	mean_top_construction__tv_accuracy_tie_ok	min_top_construction__tv_accuracy_tie_ok	max_top_construction__tv_accuracy_tie_ok	mean_top_construction__iv_accuracy_tie_ok	min_top_construction__iv_accuracy_tie_ok	max_top_construction__iv_accuracy_tie_ok	mean_top_construction__cv_accuracy_tie_ok	min_top_construction__cv_accuracy_tie_ok	max_top_construction__cv_accuracy_tie_ok	mean_top_construction__cop_n_accuracy_tie_ok	min_top_construction__cop_n_accuracy_tie_ok	max_top_construction__cop_n_accuracy_tie_ok	mean_bare_minus_arg_accuracy	min_bare_minus_arg_accuracy	max_bare_minus_arg_accuracy
clause_wo	sov	32	0.9939926664302929	0.9906288289177824	0.9962614054063758	0.998267037258377	0.9969294811029139	0.9992375221530726	0.7428751325556734	0.3616118769883351	0.9066808059384942	0.5534957627118644	0.05084745762711865	0.7966101694915254	0.9857712765957447	0.9625531914893617	0.9965957446808511	0.9961112797403628	0.9952041840808797	0.9973382521188914	0.9920237582543784	0.986505885730692	0.9964111398219926	0.7351838235294118	0.3723529411764706	0.888235294117647	0.9981979133281443	0.9968865894418754	0.9992216473604688	0.9920237582543784	0.986505885730692	0.9964111398219926	0.7351838235294118	0.3723529411764706	0.888235294117647	0.9937887449186992	0.9897052845528456	0.9967784552845529	0.9977198065661409	0.9961639698830826	0.9989389703931931	0.9905072518455501	0.9839732155108537	0.9948132495403277	0.9930791712650463	0.9892975386905526	0.9962528552729513	0.25683993472496663	0.10534681055884887	0.6198951208390333
clause_wo	svo	32	0.9960438723851156	0.9916117247353138	0.9988914371373047	0.9976217646210279	0.9955899929934469	0.9991138770968141	0.7914236479321315	0.3297985153764581	0.9618239660657476	0.6795550847457628	0.05084745762711865	0.9830508474576272	0.9801595744680851	0.9472340425531914	0.9965957446808511	0.9978309089635528	0.99557776273086	0.9992435032337902	0.9926293784094171	0.9829170255526845	0.9984209015216767	0.7849264705882353	0.34058823529411764	0.9564705882352941	0.997508269996795	0.9953298841628131	0.9990613982876242	0.9926293784094171	0.9829170255526845	0.9984209015216767	0.7849264705882353	0.34058823529411764	0.9564705882352941	0.9971484375	0.9923983739837399	0.999339430894309	0.997127440878206	0.9941439327470465	0.9989185659776776	0.9902859916572903	0.9773594225966684	0.9976673344493537	0.9972762620948079	0.9923517182968458	0.9994610271283012	0.20770290782118186	0.04195031328638266	0.650080728243063
clause_wo	vos	32	0.9954210070418427	0.9909564608569594	0.9981149943225425	0.9995453468243828	0.9986192968717801	0.9998763549437415	0.7825755567338282	0.40084835630965004	0.943796394485684	0.6689618644067796	0.1016949152542373	0.9830508474576272	0.9829521276595745	0.9421276595744681	1.0	0.9972978297415303	0.9950967802190105	0.998664456326321	0.9920237582543784	0.9827734711455641	0.9972724662647143	0.7729227941176471	0.4323529411764706	0.9329411764705883	0.999538568517925	0.9986951146925507	0.9998855363765395	0.9920237582543784	0.9827734711455641	0.9972724662647143	0.7729227941176471	0.4323529411764706	0.9329411764705883	0.9952010289634147	0.990640243902439	0.9976321138211383	0.999116871390969	0.9977963231243241	0.9996939337672672	0.9915440873789072	0.9785120338099289	0.9976673344493537	0.9949535456715345	0.9902214921848934	0.9979981007622616	0.21910096413673136	0.061747310465960714	0.5575982503251085
np_wo	gn	48	0.9950646699070812	0.9906871743316084	0.9985638051981276	0.9984784788910411	0.9955899929934469	0.9998763549437415	0.7625265111346766	0.3297985153764581	0.9618239660657476	0.6193502824858758	0.05084745762711865	0.9830508474576272	0.9820744680851065	0.9421276595744681	1.0	0.9970650727310933	0.9952041840808797	0.9990146863106774	0.9919729160685233	0.9827734711455641	0.9984209015216767	0.7557475490196078	0.34058823529411764	0.9552941176470588	0.9984161096103659	0.9953756696121973	0.9998855363765395	0.9919729160685233	0.9827734711455641	0.9984209015216767	0.7557475490196078	0.34058823529411764	0.9552941176470588	0.99528518800813	0.9897052845528456	0.9991971544715447	0.9979740115761051	0.9951233446917913	0.9996939337672672	0.9905126832971999	0.9773594225966684	0.9976673344493537	0.9951053991393545	0.989374534815081	0.9994610271283012	0.23622536704891547	0.042839675060377225	0.650080728243063
np_wo	ng	48	0.9952403606644196	0.9906288289177824	0.9988914371373047	0.9984776202448172	0.9956312080121996	0.9998557474343651	0.7820563803464121	0.3616118769883351	0.95864262990456	0.6486581920903954	0.0847457627118644	0.9491525423728814	0.9838475177304965	0.9506382978723404	0.9965957446808511	0.9970949395658705	0.9950967802190105	0.9992435032337902	0.9924783472102594	0.9852138960666093	0.9984209015216767	0.7729411764705882	0.3723529411764706	0.9564705882352941	0.9984137249515438	0.9953298841628131	0.9998397509271554	0.9924783472102594	0.9852138960666093	0.9984209015216767	0.7729411764705882	0.3723529411764706	0.9564705882352941	0.9954736195799457	0.9903048780487805	0.999339430894309	0.9980020676474389	0.9941439327470465	0.9995511028586587	0.9910455372906318	0.9826285024287165	0.9976673344493537	0.9951005868815713	0.9892975386905526	0.9994610271283012	0.21953717073967113	0.04195031328638266	0.6198951208390333
alignment_code	ac	48	0.9951720105081586	0.9909564608569594	0.9988914371373047	0.9986463442278367	0.9969294811029139	0.9998145324156122	0.8071535878402263	0.40084835630965004	0.9618239660657476	0.6557203389830508	0.0847457627118644	0.9830508474576272	0.9768617021276595	0.9421276595744681	0.9957446808510638	0.9968793535532777	0.9950967802190105	0.9992435032337902	0.9912910326347019	0.9827734711455641	0.9984209015216767	0.7960049019607843	0.4229411764705882	0.9564705882352941	0.9985978206126093	0.9968865894418754	0.9997939654777712	0.9912910326347019	0.9827734711455641	0.9984209015216767	0.7960049019607843	0.4229411764705882	0.9564705882352941	0.9957283197831979	0.990640243902439	0.999339430894309	0.9981848572030988	0.9961639698830826	0.9996939337672672	0.9891788331183622	0.9773594225966684	0.9972282444633497	0.9955823473551831	0.9902214921848934	0.9994610271283012	0.19528613067391756	0.04195031328638266	0.570885984023239
alignment_code	er	48	0.9951330200633421	0.9906288289177824	0.9981329467575658	0.9983097549080218	0.9955899929934469	0.9998763549437415	0.7374293036408625	0.3297985153764581	0.95864262990456	0.6122881355932203	0.05084745762711865	0.9491525423728814	0.9890602836879432	0.9582978723404255	1.0	0.9972806587436861	0.9952508814121273	0.998907282448808	0.9931602306440808	0.986075222509331	0.9984209015216767	0.7326838235294119	0.34058823529411764	0.9511764705882353	0.9982320139493003	0.9953298841628131	0.9998855363765395	0.9931602306440808	0.986075222509331	0.9984209015216767	0.7326838235294119	0.34058823529411764	0.9511764705882353	0.995030487804878	0.9897052845528456	0.9990142276422764	0.9977912220204453	0.9941439327470465	0.9995511028586587	0.9923793874694695	0.983232251159472	0.9976673344493537	0.9946236386657428	0.9892975386905526	0.9992557041295588	0.260476407114669	0.04724443093344144	0.650080728243063
comp_system_code	b	48	0.9953711703341995	0.9906288289177824	0.9988914371373047	0.9985450239734025	0.9962082182747393	0.9998145324156122	0.7708554259455638	0.3616118769883351	0.9618239660657476	0.625	0.05084745762711865	0.9830508474576272	0.9875886524822696	0.9617021276595744	0.9982978723404256	0.9972685952664472	0.9952041840808797	0.9992435032337902	0.9936806153698918	0.987510766580534	0.9984209015216767	0.7632843137254902	0.3723529411764706	0.9564705882352941	0.9984881263067931	0.9960166659035758	0.9998168582024632	0.9936806153698918	0.987510766580534	0.9984209015216767	0.7632843137254902	0.3723529411764706	0.9564705882352941	0.9954308519647697	0.989969512195122	0.999339430894309	0.9980688070898543	0.995388602093493	0.9996939337672672	0.9918699744778946	0.9802135075056945	0.9976673344493537	0.9951016562721898	0.9892975386905526	0.9994610271283012	0.23039630164440164	0.04195031328638266	0.6198951208390333
comp_system_code	d	48	0.9949338602373013	0.9915623555389994	0.9977245288607833	0.9984110751624559	0.9955899929934469	0.9998763549437415	0.7737274655355248	0.3297985153764581	0.953340402969247	0.6430084745762712	0.05084745762711865	0.9491525423728814	0.9783333333333334	0.9421276595744681	1.0	0.9968914170305166	0.9950967802190105	0.9985757313969507	0.9907706479088908	0.9827734711455641	0.9972724662647143	0.765404411764706	0.34058823529411764	0.9452941176470588	0.9983417082551166	0.9953298841628131	0.9998855363765395	0.9907706479088908	0.9827734711455641	0.9972724662647143	0.765404411764706	0.34058823529411764	0.9452941176470588	0.9953279556233062	0.9897052845528456	0.9991869918699187	0.9979072721336898	0.9941439327470465	0.9996531249362361	0.9896882461099371	0.9773594225966684	0.9967617113532204	0.995104329748736	0.989374534815081	0.999230038754716	0.22536623614418494	0.04695394436844502	0.650080728243063
strategy_code	ep	24	0.9964422387883304	0.9940442796809852	0.9988914371373047	0.9984956518155216	0.9962700408028685	0.9998557474343651	0.910480735242135	0.8218451749734889	0.9618239660657476	0.8170903954802259	0.6271186440677966	0.9830508474576272	0.9873404255319148	0.9582978723404255	0.9982978723404256	0.9972623689556142	0.9952415419458778	0.9992435032337902	0.9942877308833381	0.9883720930232558	0.9984209015216767	0.9019607843137255	0.8205882352941176	0.9564705882352941	0.9984518794926972	0.9961769149764205	0.9998397509271554	0.9942877308833381	0.9883720930232558	0.9984209015216767	0.9019607843137255	0.8205882352941176	0.9564705882352941	0.996789888211382	0.994349593495935	0.999339430894309	0.9982375686098471	0.995980330143443	0.9996939337672672	0.9927264286433034	0.979060896292434	0.9976673344493537	0.9967811342384656	0.9928650257937017	0.9994610271283012	0.09232694656961264	0.04195031328638266	0.17467446927091257
