language	n_pairs	accuracy_strict	ties	tie_rate	mean_delta_good_minus_bad
00_sov_gn_ac_b_se	100	0.68000000	0	0.00000000	0.19685017
01_sov_gn_ac_b_pa	100	0.68000000	0	0.00000000	0.19685017
02_sov_gn_ac_b_ep	100	0.68000000	0	0.00000000	0.19685017
03_sov_gn_ac_b_no	100	0.68000000	0	0.00000000	0.19685017
04_sov_gn_ac_d_se	100	0.68000000	0	0.00000000	0.19685017
05_sov_gn_ac_d_pa	100	0.68000000	0	0.00000000	0.19685017
06_sov_gn_ac_d_ep	100	0.68000000	0	0.00000000	0.19685017
07_sov_gn_ac_d_no	100	0.68000000	0	0.00000000	0.19685017
08_sov_gn_er_b_se	100	0.68000000	0	0.00000000	0.19685017
09_sov_gn_er_b_pa	100	0.68000000	0	0.00000000	0.19685017
10_sov_gn_er_b_ep	100	0.68000000	0	0.00000000	0.19685017
11_sov_gn_er_b_no	100	0.68000000	0	0.00000000	0.19685017
12_sov_gn_er_d_se	100	0.68000000	0	0.00000000	0.19685017
13_sov_gn_er_d_pa	100	0.68000000	0	0.00000000	0.19685017
14_sov_gn_er_d_ep	100	0.68000000	0	0.00000000	0.19685017
15_sov_gn_er_d_no	100	0.68000000	0	0.00000000	0.19685017
16_sov_ng_ac_b_se	100	0.68000000	0	0.00000000	0.19685017
17_sov_ng_ac_b_pa	100	0.68000000	0	0.00000000	0.19685017
18_sov_ng_ac_b_ep	100	0.68000000	0	0.00000000	0.19685017
19_sov_ng_ac_b_no	100	0.68000000	0	0.00000000	0.19685017
20_sov_ng_ac_d_se	100	0.68000000	0	0.00000000	0.19685017
21_sov_ng_ac_d_pa	100	0.68000000	0	0.00000000	0.19685017
22_sov_ng_ac_d_ep	100	0.68000000	0	0.00000000	0.19685017
23_sov_ng_ac_d_no	100	0.68000000	0	0.00000000	0.19685017
24_sov_ng_er_b_se	100	0.68000000	0	0.00000000	0.19685017
25_sov_ng_er_b_pa	100	0.68000000	0	0.00000000	0.19685017
26_sov_ng_er_b_ep	100	0.68000000	0	0.00000000	0.19685017
27_sov_ng_er_b_no	100	0.68000000	0	0.00000000	0.19685017
28_sov_ng_er_d_se	100	0.68000000	0	0.00000000	0.19685017
29_sov_ng_er_d_pa	100	0.68000000	0	0.00000000	0.19685017
30_sov_ng_er_d_ep	100	0.68000000	0	0.00000000	0.19685017
31_sov_ng_er_d_no	100	0.68000000	0	0.00000000	0.19685017
32_svo_gn_ac_b_se	100	0.68000000	0	0.00000000	0.19685017
33_svo_gn_ac_b_pa	100	0.68000000	0	0.00000000	0.19685017
34_svo_gn_ac_b_ep	100	0.68000000	0	0.00000000	0.19685017
35_svo_gn_ac_b_no	100	0.68000000	0	0.00000000	0.19685017
36_svo_gn_ac_d_se	100	0.68000000	0	0.00000000	0.19685017
37_svo_gn_ac_d_pa	100	0.68000000	0	0.00000000	0.19685017
38_svo_gn_ac_d_ep	100	0.68000000	0	0.00000000	0.19685017
39_svo_gn_ac_d_no	100	0.68000000	0	0.00000000	0.19685017
