language	n_pairs	accuracy_strict	ties	tie_rate	mean_delta_good_minus_bad
00_sov_gn_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
01_sov_gn_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
02_sov_gn_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
03_sov_gn_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
04_sov_gn_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
05_sov_gn_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
06_sov_gn_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
07_sov_gn_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
08_sov_gn_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
09_sov_gn_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
10_sov_gn_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
11_sov_gn_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
12_sov_gn_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
13_sov_gn_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
14_sov_gn_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
15_sov_gn_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
16_sov_ng_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
17_sov_ng_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
18_sov_ng_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
19_sov_ng_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
20_sov_ng_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
21_sov_ng_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
22_sov_ng_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
23_sov_ng_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
24_sov_ng_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
25_sov_ng_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
26_sov_ng_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
27_sov_ng_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
28_sov_ng_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
29_sov_ng_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
30_sov_ng_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
31_sov_ng_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
32_svo_gn_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
33_svo_gn_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
34_svo_gn_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
35_svo_gn_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
36_svo_gn_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
37_svo_gn_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
38_svo_gn_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
39_svo_gn_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
40_svo_gn_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
41_svo_gn_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
42_svo_gn_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
43_svo_gn_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
44_svo_gn_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
45_svo_gn_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
46_svo_gn_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
47_svo_gn_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
48_svo_ng_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
49_svo_ng_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
50_svo_ng_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
51_svo_ng_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
52_svo_ng_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
53_svo_ng_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
54_svo_ng_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
55_svo_ng_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
56_svo_ng_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
57_svo_ng_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
58_svo_ng_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
59_svo_ng_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
60_svo_ng_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
61_svo_ng_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
62_svo_ng_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
63_svo_ng_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
64_vos_gn_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
65_vos_gn_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
66_vos_gn_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
67_vos_gn_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
68_vos_gn_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
69_vos_gn_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
70_vos_gn_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
71_vos_gn_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
72_vos_gn_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
73_vos_gn_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
74_vos_gn_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
75_vos_gn_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
76_vos_gn_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
77_vos_gn_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
78_vos_gn_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
79_vos_gn_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
80_vos_ng_ac_b_se	100	0.44000000	0	0.00000000	-0.10295009
81_vos_ng_ac_b_pa	100	0.44000000	0	0.00000000	-0.10295009
82_vos_ng_ac_b_ep	100	0.44000000	0	0.00000000	-0.10295009
83_vos_ng_ac_b_no	100	0.44000000	0	0.00000000	-0.10295009
84_vos_ng_ac_d_se	100	0.44000000	0	0.00000000	-0.10295009
85_vos_ng_ac_d_pa	100	0.44000000	0	0.00000000	-0.10295009
86_vos_ng_ac_d_ep	100	0.44000000	0	0.00000000	-0.10295009
87_vos_ng_ac_d_no	100	0.44000000	0	0.00000000	-0.10295009
88_vos_ng_er_b_se	100	0.44000000	0	0.00000000	-0.10295009
89_vos_ng_er_b_pa	100	0.44000000	0	0.00000000	-0.10295009
90_vos_ng_er_b_ep	100	0.44000000	0	0.00000000	-0.10295009
91_vos_ng_er_b_no	100	0.44000000	0	0.00000000	-0.10295009
92_vos_ng_er_d_se	100	0.44000000	0	0.00000000	-0.10295009
93_vos_ng_er_d_pa	100	0.44000000	0	0.00000000	-0.10295009
94_vos_ng_er_d_ep	100	0.44000000	0	0.00000000	-0.10295009
95_vos_ng_er_d_no	100	0.44000000	0	0.00000000	-0.10295009
