nohup: ignoring input
[progress] 1000/3971682 (0.03%) | 17.69 rows/s | elapsed 56.5s
[progress] 2000/3971682 (0.05%) | 35.38 rows/s | elapsed 56.5s
[progress] 3000/3971682 (0.08%) | 53.06 rows/s | elapsed 56.5s
[progress] 4000/3971682 (0.10%) | 70.75 rows/s | elapsed 56.5s
[progress] 5000/3971682 (0.13%) | 88.43 rows/s | elapsed 56.5s
[progress] 6000/3971682 (0.15%) | 106.10 rows/s | elapsed 56.5s
[progress] 7000/3971682 (0.18%) | 123.78 rows/s | elapsed 56.6s
[progress] 8000/3971682 (0.20%) | 141.44 rows/s | elapsed 56.6s
[progress] 9000/3971682 (0.23%) | 159.11 rows/s | elapsed 56.6s
[progress] 10000/3971682 (0.25%) | 176.77 rows/s | elapsed 56.6s
[progress] 11000/3971682 (0.28%) | 194.43 rows/s | elapsed 56.6s
[progress] 12000/3971682 (0.30%) | 212.08 rows/s | elapsed 56.6s
[progress] 13000/3971682 (0.33%) | 229.73 rows/s | elapsed 56.6s
[progress] 14000/3971682 (0.35%) | 247.38 rows/s | elapsed 56.6s
[progress] 15000/3971682 (0.38%) | 259.93 rows/s | elapsed 57.7s
[progress] 16000/3971682 (0.40%) | 258.68 rows/s | elapsed 61.9s
[progress] 17000/3971682 (0.43%) | 257.88 rows/s | elapsed 65.9s
[progress] 18000/3971682 (0.45%) | 270.33 rows/s | elapsed 66.6s
[progress] 19000/3971682 (0.48%) | 269.91 rows/s | elapsed 70.4s
[progress] 20000/3971682 (0.50%) | 268.88 rows/s | elapsed 74.4s
[progress] 21000/3971682 (0.53%) | 267.20 rows/s | elapsed 78.6s
[progress] 22000/3971682 (0.55%) | 266.33 rows/s | elapsed 82.6s
[progress] 23000/3971682 (0.58%) | 265.12 rows/s | elapsed 86.8s
[progress] 24000/3971682 (0.60%) | 274.38 rows/s | elapsed 87.5s
[progress] 25000/3971682 (0.63%) | 273.48 rows/s | elapsed 91.4s
[progress] 26000/3971682 (0.65%) | 272.11 rows/s | elapsed 95.6s
[progress] 27000/3971682 (0.68%) | 271.49 rows/s | elapsed 99.5s
[progress] 28000/3971682 (0.70%) | 270.60 rows/s | elapsed 103.5s
[progress] 29000/3971682 (0.73%) | 269.51 rows/s | elapsed 107.6s
[progress] 30000/3971682 (0.76%) | 276.83 rows/s | elapsed 108.4s
[progress] 31000/3971682 (0.78%) | 275.96 rows/s | elapsed 112.3s
[progress] 32000/3971682 (0.81%) | 274.53 rows/s | elapsed 116.6s
[progress] 33000/3971682 (0.83%) | 274.07 rows/s | elapsed 120.4s
[progress] 34000/3971682 (0.86%) | 273.76 rows/s | elapsed 124.2s
[progress] 35000/3971682 (0.88%) | 273.07 rows/s | elapsed 128.2s
[progress] 36000/3971682 (0.91%) | 278.99 rows/s | elapsed 129.0s
[progress] 37000/3971682 (0.93%) | 278.31 rows/s | elapsed 132.9s
[progress] 38000/3971682 (0.96%) | 275.76 rows/s | elapsed 137.8s
[progress] 39000/3971682 (0.98%) | 274.35 rows/s | elapsed 142.2s
[progress] 40000/3971682 (1.01%) | 273.38 rows/s | elapsed 146.3s
[progress] 41000/3971682 (1.03%) | 272.58 rows/s | elapsed 150.4s
[progress] 42000/3971682 (1.06%) | 277.05 rows/s | elapsed 151.6s
[progress] 43000/3971682 (1.08%) | 276.17 rows/s | elapsed 155.7s
[progress] 44000/3971682 (1.11%) | 275.65 rows/s | elapsed 159.6s
[progress] 45000/3971682 (1.13%) | 274.76 rows/s | elapsed 163.8s
[progress] 46000/3971682 (1.16%) | 273.86 rows/s | elapsed 168.0s
[progress] 47000/3971682 (1.18%) | 273.35 rows/s | elapsed 171.9s
[progress] 48000/3971682 (1.21%) | 277.24 rows/s | elapsed 173.1s
[progress] 49000/3971682 (1.23%) | 276.32 rows/s | elapsed 177.3s
[progress] 50000/3971682 (1.26%) | 275.76 rows/s | elapsed 181.3s
[progress] 51000/3971682 (1.28%) | 275.01 rows/s | elapsed 185.4s
[progress] 52000/3971682 (1.31%) | 274.13 rows/s | elapsed 189.7s
[progress] 53000/3971682 (1.33%) | 273.80 rows/s | elapsed 193.6s
[progress] 54000/3971682 (1.36%) | 277.49 rows/s | elapsed 194.6s
[progress] 55000/3971682 (1.38%) | 276.50 rows/s | elapsed 198.9s
[progress] 56000/3971682 (1.41%) | 276.17 rows/s | elapsed 202.8s
